id,nama,shape_leng,geom
59,,0.0238871143347,"LINESTRING (106.66507210000013 -6.320137239999971, 106.65723954300007 -6.321569046999956, 106.64940694300012 -6.323000736999932, 106.64157430000004 -6.324432309999986)"
60,,0.0362312903496,"LINESTRING (106.80962560000006 -6.626076549999974, 106.80576727000003 -6.619942851999975, 106.80190903600001 -6.613809123999973, 106.79805089600009 -6.607675363999968, 106.79419285100009 -6.601541571999961, 106.79033490000009 -6.595407749999952)"
61,,0.00963926236599,"LINESTRING (106.83180850000007 -6.369694249999972, 106.8317519990001 -6.364874949999924, 106.83169550000004 -6.360055649999966)"
62,,0.0103727965559,"LINESTRING (106.81553490000006 -6.200672289999933, 106.812935328 -6.1961844169999525, 106.81033580000012 -6.1916965299999704)"
63,,0.00872361014532,"LINESTRING (106.83423580000009 -6.33931730999994, 106.83480730000012 -6.3306124399999195)"
64,,0.0143676990128,"LINESTRING (106.81716820000011 -6.404488489999919, 106.81945043000012 -6.3976767959999545, 106.82173260000012 -6.3908650899999895)"
65,,0.0119578079665,"LINESTRING (106.82685750000005 -6.149195339999971, 106.82730109500007 -6.155157765999921, 106.8277447 -6.16112018999996)"
66,,0.024040724922,"LINESTRING (106.75649990000002 -6.15860162999994, 106.76444463600004 -6.159649633999966, 106.77238940200004 -6.160697520999983, 106.78033420000006 -6.1617452899999)"
67,,0.0204506891604,"LINESTRING (106.74490560000002 -6.276521209999922, 106.73948395200006 -6.280653442999965, 106.73406221900008 -6.284785620000003, 106.72864040000009 -6.288917739999947)"
68,,0.0133198552865,"LINESTRING (106.85522770000004 -6.255016509999992, 106.85693352100004 -6.2485787439999685, 106.85863930000005 -6.242140969999945)"
69,,0.00372864608336,"LINESTRING (106.88017340000002 -6.110295719999983, 106.87896125099006 -6.11198910383989, 106.87800310000004 -6.113327649999936)"
70,,0.0282001400533,"LINESTRING (106.92809710000006 -6.216185600000004, 106.92108327200008 -6.215471873999925, 106.91406946200009 -6.214758054999927, 106.9070556720001 -6.214044143999922, 106.9000419000001 -6.213330139999909)"
71,,0.0261089789501,"LINESTRING (106.83887170000006 -6.308287169999952, 106.84088129800007 -6.299819366999918, 106.84289083200007 -6.291351553999972, 106.84490030000006 -6.282883730000025)"
72,,0.0204103176267,"LINESTRING (106.84628470000004 -6.127876529999967, 106.8432283690001 -6.133954804999999, 106.84017196900008 -6.140033061999941, 106.83711550000005 -6.14611129999997)"
73,,0.0104530206199,"LINESTRING (106.80125590000007 -6.154718399999983, 106.80095749700007 -6.149500415999989, 106.80065910000008 -6.144282429999994)"
74,,0.00569131561428,"LINESTRING (106.87330890000004 -6.214945999999935, 106.86761780000006 -6.214995539999948)"
75,,0.0294345258753,"LINESTRING (106.7974252000001 -6.20742486999998, 106.79409157400006 -6.213985054000006, 106.790757865 -6.220545214999942, 106.78742407400003 -6.227105353999964, 106.78409020000005 -6.233665469999985)"
76,,0.0164089555499,"LINESTRING (106.85645790000004 -6.193614089999913, 106.85935950800005 -6.2012883340000124, 106.86226120000006 -6.208962559999933)"
77,,0.00817693360575,"LINESTRING (106.71680420000007 -6.294765159999974, 106.70956240000004 -6.298562339999917)"
78,,0.0202287536362,"LINESTRING (106.70338440000002 -6.166015279999972, 106.69672849400007 -6.167094942999953, 106.69007256000002 -6.168174522999927, 106.68341660000007 -6.169254019999895)"
79,,0.0373148030952,"LINESTRING (106.70956240000004 -6.298562339999917, 106.70285350700006 -6.301831195999933, 106.69614453100007 -6.305099966999942, 106.68943547100007 -6.3083686509999435, 106.68272632800006 -6.311637247999938, 106.67601710000005 -6.314905759999926)"
80,,0.0168895634904,"LINESTRING (106.72004190000008 -6.16322510999995, 106.7117131720001 -6.164620259999922, 106.70338440000002 -6.166015279999972)"
81,,0.0116736902371,"LINESTRING (106.88496570000005 -6.214318259999954, 106.87913730300009 -6.214632161999902, 106.87330890000004 -6.214945999999935)"
82,,0.041349300388,"LINESTRING (106.80299560000013 -6.7422187299999745, 106.80531765000005 -6.734281542999968, 106.80763962500006 -6.72634434299996, 106.80996152500006 -6.718407128999951, 106.81228335000006 -6.710469900999941, 106.81460510000005 -6.702532660000019)"
83,,0.0654124973992,"LINESTRING (106.79033490000009 -6.595407749999952, 106.79162612000007 -6.587333781999996, 106.79291729900007 -6.579259807999952, 106.79420843600005 -6.5711858279999955, 106.79549953200002 -6.56311184199995, 106.79679058600009 -6.555037849999993, 106.79808159800005 -6.546963852999946, 106.79937257000003 -6.538889848999899, 106.80066350000008 -6.53081583999994)"
84,,0.0629835072124,"MULTILINESTRING ((106.40239950668999 -6.332625273022577, 106.40683243600002 -6.332176509999924, 106.41578434100005 -6.331270116999979, 106.42473621500008 -6.330363569999934, 106.43123864705439 -6.329704962030261, 106.4336880580001 -6.329456869999964, 106.44263987000004 -6.328550015999982, 106.45159165000007 -6.327643009999987, 106.46054340000008 -6.326735849999979), (106.40177553799799 -6.332688439849013, 106.40210777329779 -6.332654806351426))"
